Name,SpType,LType,n_SpType,Sec,RA J2000 h:m:s,DE J2000 d:m:s,Vmag,Refs
HD 045314 ,O9: , ,pe , ,06 27 15.777,+14 53 21.22,6.633,M98
HD 046056 ,O8 ,V ,(n) ,sec ,06 31 20.862,+04 50 03.85,8.245,"M95,H77"
HD 046149 ,O8.5 ,V ,  , ,06 31 52.533,+05 01 59.19,7.602,"M98,H77"
HD 046150 ,O5 ,V ,((f)) , ,06 31 55.519,+04 56 34.27,6.745,"M98,W02a"
HD 046223 ,O4 ,V ,((f+)) , ,06 32 09.306,+04 49 24.73,7.266,"M98,W02a"
HD 046202 ,O9 ,V ,  , ,06 32 10.471,+04 57 59.79,8.183,"M95,H77"
HD 046485 ,O7 ,V ,n(e) , ,06 33 50.957,+04 31 31.61,8.243,H64
HD 046573 ,O7 ,III ,((f)) , ,06 34 23.568,+02 32 02.94,7.933,M98
HD 046966 ,O8 ,V ,  , ,06 36 25.887,+06 04 59.47,6.877,M98
HD 047129 ,O8 , ,p , ,06 37 24.042,+06 08 07.38,6.062,M98
HD 047432 ,O9.7 ,Ib ,  , ,06 38 38.187,+01 36 48.66,6.22,M98
15 Mon ,O7 ,V ,((f)) , ,06 40 58.656,+09 53 44.71,4.649,"W72,M98"
HD 048099 ,O7 ,V ,  , ,06 41 59.231,+06 20 43.54,6.366,M98
HD 048279 ,O8 ,V ,  , ,06 42 40.548,+01 42 58.23,7.91,M98
HD 052266 ,O9 ,IV ,(n) , ,07 00 21.077,-05 49 35.95,7.213,M98
HD 052533 ,O9 ,V ,  , ,07 01 27.048,-03 07 03.28,7.702,M98
HD 053975 ,O7.5 ,V ,  , ,07 06 35.964,-12 23 38.23,6.473,M98
HD 054662 ,O6.5 ,V ,  , ,07 09 20.249,-10 20 47.64,6.212,M98
HD 054879 ,O9.5 ,V ,  , ,07 10 08.149,-11 48 09.86,7.645,M98
HD 055879 ,O9.5 ,II-III ,  , ,07 14 28.253,-10 18 58.50,6.018,M98
CW CMa ,O7 ,Ia: ,fp var , ,07 18 40.378,-24 33 31.32,4.967,"M98,D99"
{tau} CMa ,O9 ,II ,  , ,07 18 42.487,-24 57 15.78,4.391,M98
HD 057236 ,O8 ,V ,((f)) , ,07 19 30.102,-22 00 17.29,8.746,M04
HD 057682 ,O9 ,IV ,  , ,07 22 02.053,-08 58 45.77,6.418,M98
HD 060848 ,O8 ,V: ,pe var , ,07 37 05.731,+16 54 15.29,6.85,M98
HD 064315 ,O6 ,V ,n , ,07 52 20.284,-26 25 46.69,9.223,"H64,W82"
CPD -26 2716 ,O6.5 ,Ib ,(f) , ,07 53 01.007,-27 06 57.75,  ,M04
HD 064568 ,O3 ,V ,((f*)) , ,07 53 38.206,-26 14 02.62,9.395,"H64,W82"
CPD -28 2561 ,O6.5 , ,fp , ,07 55 52.854,-28 37 46.78,  ,M04
BD +22 3782 ,O7 ,V ,((f)) , ,19 43 10.970,+23 17 45.38,9.341,"H64,G92"
HD 186980 ,O7.5 ,III ,((f)) , ,19 46 15.902,+32 06 58.16,7.472,H64
HD 188209 ,O9.5 ,Iab ,  , ,19 51 59.068,+47 01 38.44,5.626,M98
9 Sge ,O7.5 ,Ia ,f , ,19 52 21.765,+18 40 18.75,6.23,M98
HD 226868 ,O9.7 ,Iab ,(p-var) , ,19 58 21.678,+35 12 05.81,8.89,M98
HD 189957 ,O9.5 ,III ,  , ,20 01 00.005,+42 00 30.83,7.807,M98
HD 190429 A ,O4 ,I ,f+ , ,20 03 29.399,+36 01 30.01,6.616,"G92,M98"
HD 190864 ,O6.5 ,III ,(f) , ,20 05 39.800,+35 36 27.98,7.763,"H64,M98"
WR 133 ,O9.7 ,Iab , ,WN4 ,20 05 57.324,+35 47 18.16,6.793,"H64,M98"
